data,Libya,idp,non_displaced,returnee
2. Minor difficulties carrying out daily activities but does not need assistance or attention,,,,
Average,0,NA,0,0
"3. Some difficulties carrying out daily activities and needs some assistance and attention (e.g., for 1-2 hours/day)",,,,
Average,0.24,NA,0.25,0.14
"4. A lot of difficulty carrying out daily activiites and needs quite a bit of assistance and atention (e.g., for 3-6 hours/day)",,,,
Average,0,NA,0,0
5. Cannot carry out daily activities independently and needs permanent assistance and attention,,,,
Average,0.66,NA,0.65,0.86
physical_cognitive_difficulties_female_infant_calc,,,,
Average,1,NA,1,1
What was the cause of the disability?,,,,
"Congenital origin (i.e., present since birth)",89.98,NA,89.67,100
Illness,10.02,NA,10.33,0
1. No difficulty carrying out daily activities,,,,
Average,0.41,1,0.32,0.96
2. Minor difficulties carrying out daily activities but does not need assistance or attention,,,,
Average,0.07,0,0.08,0
"3. Some difficulties carrying out daily activities and needs some assistance and attention (e.g., for 1-2 hours/day)",,,,
Average,0.22,0,0.26,0
"4. A lot of difficulty carrying out daily activiites and needs quite a bit of assistance and atention (e.g., for 3-6 hours/day)",,,,
Average,0.02,0,0.01,0.04
5. Cannot carry out daily activities independently and needs permanent assistance and attention,,,,
Average,0.17,0,0.07,0.96
physical_cognitive_difficulties_male_children_calc,,,,
Average,0.88,1,0.74,1.96
What was the cause of the disability?,,,,
"Congenital origin (i.e., present since birth)",73.28,16.36,71.31,100
Road accident,17.61,0,20.43,0
Illness,8.59,61.7,8.26,0
"Pregnancy complications (i.e., complications to the mother)",0.52,21.94,0,0
1. No difficulty carrying out daily activities,,,,
Average,0.72,0,0.72,NA
2. Minor difficulties carrying out daily activities but does not need assistance or attention,,,,
Average,0.37,1,0.37,NA
"3. Some difficulties carrying out daily activities and needs some assistance and attention (e.g., for 1-2 hours/day)",,,,
Average,0.09,0,0.1,NA
"4. A lot of difficulty carrying out daily activiites and needs quite a bit of assistance and atention (e.g., for 3-6 hours/day)",,,,
Average,0.06,0,0.06,NA
5. Cannot carry out daily activities independently and needs permanent assistance and attention,,,,
Average,0.48,0,0.48,NA
physical_cognitive_difficulties_female_children_calc,,,,
Average,1.72,1,1.72,NA
What was the cause of the disability?,,,,
"Congenital origin (i.e., present since birth)",93.04,100,93,NA
Illness,6.96,0,7,NA
1. No difficulty carrying out daily activities,,,,
Average,0.65,0.61,0.66,0.42
2. Minor difficulties carrying out daily activities but does not need assistance or attention,,,,
Average,0.44,0.12,0.49,0.06
"3. Some difficulties carrying out daily activities and needs some assistance and attention (e.g., for 1-2 hours/day)",,,,
Average,0.37,0.49,0.36,0
"4. A lot of difficulty carrying out daily activiites and needs quite a bit of assistance and atention (e.g., for 3-6 hours/day)",,,,
Average,0,0,0,0
5. Cannot carry out daily activities independently and needs permanent assistance and attention,,,,
Average,0.11,0.28,0.08,0.93
physical_cognitive_difficulties_male_adults_calc,,,,
Average,1.57,1.49,1.58,1.41
What was the cause of the disability?,,,,
"Congenital origin (i.e., present since birth)",48.9,59.89,46.84,98.77
Road accident,27.36,0,30.88,1.23
Illness,14.86,15.44,15.04,0
Shot from war weapon,7.77,13.64,7.24,0
"Mine, unexploded ordnance (UXO), or improvised explosive device (IED)",0.72,7.21,0,0
Domestic accident,0.38,3.81,0,0
1. No difficulty carrying out daily activities,,,,
Average,0.11,0,0.11,0
2. Minor difficulties carrying out daily activities but does not need assistance or attention,,,,
Average,0.33,1,0.31,0
"3. Some difficulties carrying out daily activities and needs some assistance and attention (e.g., for 1-2 hours/day)",,,,
Average,0,0,0,0.65
"4. A lot of difficulty carrying out daily activiites and needs quite a bit of assistance and atention (e.g., for 3-6 hours/day)",,,,
Average,0,0,0,0
5. Cannot carry out daily activities independently and needs permanent assistance and attention,,,,
Average,0.56,0,0.57,0.35
physical_cognitive_difficulties_female_adults_calc,,,,
Average,1,1,1,1
What was the cause of the disability?,,,,
Domestic accident,55.75,0,57.47,0
"Congenital origin (i.e., present since birth)",41.36,0,42.53,35.03
Other (specify),2.69,100,0,0
Shot from war weapon,0.2,0,0,64.97
1. No difficulty carrying out daily activities,,,,
Average,0,0,0,0
2. Minor difficulties carrying out daily activities but does not need assistance or attention,,,,
Average,0.05,0,0.06,0
"3. Some difficulties carrying out daily activities and needs some assistance and attention (e.g., for 1-2 hours/day)",,,,
Average,0.77,0,0.94,0
"4. A lot of difficulty carrying out daily activiites and needs quite a bit of assistance and atention (e.g., for 3-6 hours/day)",,,,
Average,0.07,0.38,0,1
5. Cannot carry out daily activities independently and needs permanent assistance and attention,,,,
Average,0.11,0.62,0,0
physical_cognitive_difficulties_male_elderly_calc,,,,
Average,1,1,1,1
What was the cause of the disability?,,,,
Illness,90.4,46.67,100,0
Other (specify),9.12,53.33,0,0
Road accident,0.48,0,0,100
1. No difficulty carrying out daily activities,,,,
Average,0,0,0,0
2. Minor difficulties carrying out daily activities but does not need assistance or attention,,,,
Average,0.07,0.63,0,0
"3. Some difficulties carrying out daily activities and needs some assistance and attention (e.g., for 1-2 hours/day)",,,,
Average,0.88,0,1,0
"4. A lot of difficulty carrying out daily activiites and needs quite a bit of assistance and atention (e.g., for 3-6 hours/day)",,,,
Average,0.02,0.09,0,0.81
5. Cannot carry out daily activities independently and needs permanent assistance and attention,,,,
Average,0.03,0.28,0,0.19
physical_cognitive_difficulties_female_elderly_calc,,,,
Average,1,1,1,1
What was the cause of the disability?,,,,
Illness,96.7,71.5,100,100
Other (specify),3.3,28.5,0,0
Do they have adequate access to the health care that they need to treat or manage their condition?,,,,
"Limited access (only sometimes, limited quantity, etc.)",63.34,68.15,59.98,93.71
No access,17.29,14.28,18.61,5.91
"Yes, adequate access",12.13,14.04,13.26,0.38
Prefer not to answer,7.23,3.52,8.15,0
What are the services that are not available (when needed or prescribed)?,,,,
Don't know,8,0,9,0
Lack of physical therapy and/or rehabilitation,70,64,68,94
Prefer not to answer,0,0,0,0
Lack of wheelchair,11,10,13,1
Other (specify),17,9,20,0
"Lack of other assistive devices (e.g., prosthetic limbs or hearing aids)",6,17,6,5
Lack of psychosocial support,17,24,16,19
"Among the members of your household who are younger than 18, has the conflict or the household's displacement caused negative changes in their behaviours?",,,,
No,93.31,84.26,94.02,91.41
Yes,5.77,14.61,5.12,7.28
Don't know,0.55,0.51,0.59,0.22
Prefer not to answer,0.37,0.63,0.27,1.09
"For any children aged 0-12, what negative behaviour changes has the household observed?",,,,
"Substance use/abuse (e.g., alcohol, drugs)",0,0,0,0
No children in the household aged 0-12,39,27,41,22
Changes in appetite or eating habits,16,7,17,4
"New or recurring fears (e.g., fear of the dark, fear of being alone, fear of strangers)",24,27,23,24
Going back to behaviors present in children of a younger age,1,0,1,0
Withdrawn from family and friends ,3,14,2,7
Nightmares or sleep disturbances,24,27,25,12
Angry or aggressive outbursts,11,11,10,22
Excessive crying,4,6,2,20
No negative behavior changes in children aged 0-12,4,4,4,2
Startled easily,10,13,9,13
"Clinging, unwilling to let you out of sight",6,12,6,1
New or recurrent bedwetting,13,13,13,11
Upset stomach or vague stomach pain,1,1,1,4
Headaches,1,0,1,1
"For any children aged 13-17, what negative behaviour changes has the household observed?",,,,
"Substance use/abuse (e.g., alcohol, drugs)",0,0,0,0
Changes in appetite or eating habits,5,8,5,5
"New or recurring fears (e.g., fear of the dark, fear of being alone, fear of strangers)",6,11,7,2
Going back to behaviors present in children of a younger age,0,0,0,0
Withdrawn from family and friends ,8,15,7,15
Nightmares or sleep disturbances,12,11,12,12
Angry or aggressive outbursts,3,21,1,6
Excessive crying,0,1,0,0
No children in the household aged 13-17,38,26,40,22
Startled easily,27,13,28,16
"Clinging, unwilling to let you out of sight",3,3,1,20
No negative behavior changes in children aged 13-17,10,15,10,14
New or recurrent bedwetting,8,3,9,0
Upset stomach or vague stomach pain,2,1,2,1
Headaches,0,6,0,3
When was your household initially displaced from your baladiya? ,,,,
2014,33.87,18.68,NA,40.97
2015,17.22,9.66,NA,20.76
2011,16.62,12.61,NA,18.5
2019,15.05,41.77,NA,2.55
2018,7.89,5.72,NA,8.9
2016,4.11,4.29,NA,4.02
2017,3.28,5.04,NA,2.45
2013,1.07,1.4,NA,0.92
2012,0.45,0.56,NA,0.4
Prefer not to answer,0.28,0,NA,0.41
Don't know,0.18,0.28,NA,0.13
When did your household return to this baladiya after your most recent incidence of displacement?,,,,
2017,31.59,NA,NA,31.59
2018,25.57,NA,NA,25.57
2016,16.81,NA,NA,16.81
2015,11.05,NA,NA,11.05
2019,7.8,NA,NA,7.8
2012,2.35,NA,NA,2.35
2014,1.87,NA,NA,1.87
2011,1.63,NA,NA,1.63
2013,0.49,NA,NA,0.49
Don't know,0.46,NA,NA,0.46
Prefer not to answer,0.38,NA,NA,0.38
How many times has your household been displaced since 2011?,,,,
Average,1.29,1.3,NA,1.29
When did your household arrive in this baladiya? ,,,,
2019,21.16,48.55,NA,8.34
2017,20.88,9.57,NA,26.18
2018,20.18,8.14,NA,25.81
2016,9.52,6.84,NA,10.78
2011,8.73,7.35,NA,9.38
2015,6.24,9.01,NA,4.95
Don't know,5.85,0.64,NA,8.29
2012,2.92,2.31,NA,3.21
2014,2.88,5.08,NA,1.85
2013,1.05,2.38,NA,0.42
Prefer not to answer,0.57,0.12,NA,0.78
What mantika in Libya was your household living in before your displacement?,,,,
Tripoli,29.14,29.14,NA,NA
Benghazi,18.23,18.23,NA,NA
Aljfara,16.23,16.23,NA,NA
Misrata,8.9,8.9,NA,NA
Ubari,4.38,4.38,NA,NA
Ghat,4.32,4.32,NA,NA
Murzuq,4.15,4.15,NA,NA
Sirt,3.88,3.88,NA,NA
Alkufra,3.1,3.1,NA,NA
Al Jabal Al Gharbi,1.93,1.93,NA,NA
Sebha,1.46,1.46,NA,NA
Derna,1.31,1.31,NA,NA
Azzawya,1.26,1.26,NA,NA
Ejdabia,0.9,0.9,NA,NA
Zwara,0.39,0.39,NA,NA
Aljufra,0.29,0.29,NA,NA
Wadi Ashshati,0.12,0.12,NA,NA
What baladiya in Libya was your household living in before your displacement?,,,,
Ain Zara,18.82,18.82,NA,NA
Benghazi,18.18,18.18,NA,NA
Tawargha,6.59,6.59,NA,NA
Al Aziziya,5.04,5.04,NA,NA
Qasr Bin Ghasheer,4.91,4.91,NA,NA
Other (specify),4.35,4.35,NA,NA
Ghat,4.32,4.32,NA,NA
Murzuq,4.07,4.07,NA,NA
Tripoli,3.9,3.9,NA,NA
Ubari,3.83,3.83,NA,NA
Sirt,3.77,3.77,NA,NA
Alkufra,2.97,2.97,NA,NA
Swani Bin Adam,2.91,2.91,NA,NA
Abusliem,2.16,2.16,NA,NA
Misrata,1.48,1.48,NA,NA
Espeaa,1.36,1.36,NA,NA
Sebha,1.28,1.28,NA,NA
Derna,1.25,1.25,NA,NA
Kikkla,0.87,0.87,NA,NA
Suq Alkhamees,0.83,0.83,NA,NA
Ejdabia,0.82,0.82,NA,NA
Azzawya,0.73,0.73,NA,NA
Tajoura,0.6,0.6,NA,NA
Ghiryan,0.43,0.43,NA,NA
Al Maya,0.39,0.39,NA,NA
Alghrayfa,0.36,0.36,NA,NA
Sidi Assayeh,0.36,0.36,NA,NA
Zliten,0.3,0.3,NA,NA
Aljufra,0.29,0.29,NA,NA
Sabratha,0.23,0.23,NA,NA
Abu Qurayn,0.23,0.23,NA,NA
Janoub Azzawya,0.2,0.2,NA,NA
Bani Waleed,0.19,0.19,NA,NA
Bint Bayya,0.18,0.18,NA,NA
Azzahra,0.18,0.18,NA,NA
Arrayayna,0.16,0.16,NA,NA
Gharb Azzawya,0.15,0.15,NA,NA
Hrawa,0.11,0.11,NA,NA
Tazirbu,0.11,0.11,NA,NA
Aljmail,0.1,0.1,NA,NA
Surman,0.09,0.09,NA,NA
Al Qalaa,0.09,0.09,NA,NA
Ashshgega,0.09,0.09,NA,NA
Ashshwayrif,0.09,0.09,NA,NA
Albrayga,0.08,0.08,NA,NA
Algurdha Ashshati,0.06,0.06,NA,NA
Algatroun,0.06,0.06,NA,NA
Brak,0.05,0.05,NA,NA
Gemienis,0.05,0.05,NA,NA
Rigdaleen,0.05,0.05,NA,NA
Azzintan,0.05,0.05,NA,NA
Hai Alandalus,0.04,0.04,NA,NA
"Nesma
",0.04,0.04,NA,NA
Suq Aljumaa,0.04,0.04,NA,NA
Janzour,0.03,0.03,NA,NA
Taraghin,0.03,0.03,NA,NA
Umm arrazam,0.01,0.01,NA,NA
Alqubba,0.01,0.01,NA,NA
Edri,0.01,0.01,NA,NA
What are the main reasons why your household left its baladiya of origin?,,,,
Problems accessing housing,3,5,NA,2
Flooding or other natural disaster,2,4,NA,0
Prefer not to answer,1,0,NA,1
No opportunity for work,3,5,NA,2
Got evicted from dwelling                         ,11,18,NA,8
Other (specify),0,0,NA,0
Dwelling destroyed ,18,25,NA,14
No security/conflict in the area,79,75,NA,81
Problems accessing healthcare,9,8,NA,9
Presence of explosive hazards,5,6,NA,4
Problems accessing water,3,2,NA,3
Problems accessing education,7,6,NA,8
Threat of violence on the household,11,16,NA,8
Don't know,0,0,NA,0
Problems accessing electricity or energy,7,4,NA,8
What are the main reasons why your household has not returned to its baladiya of origin?,,,,
Don't know,0,0,NA,NA
No security/conflict in the area                       ,57,57,NA,NA
Flooding or other natural disaster,6,6,NA,NA
Prefer not to answer,1,1,NA,NA
Threat of violence on the household,19,19,NA,NA
Problems accessing housing,9,9,NA,NA
Loss of documentation has restricted movement,1,1,NA,NA
Dwelling damaged or destroyed,43,43,NA,NA
Problems accessing healthcare,15,15,NA,NA
Presence of explosive hazards,6,6,NA,NA
Problems accessing water,4,4,NA,NA
Problems accessing education,12,12,NA,NA
Other (specify),1,1,NA,NA
No opportunity for work,10,10,NA,NA
Problems accessing electricity or energy,5,5,NA,NA
Why did your household choose to move or come back to this baladiya specifically?,,,,
Cheaper rent prices in chosen area                               ,9,20,NA,4
More secure environment,17,38,NA,7
More opportunity for better health services,3,7,NA,1
Don't know,0,0,NA,0
Own property in chosen area,23,11,NA,29
Better opportunity to move abroad ,0,1,NA,0
Conflict is over in my baladiya,51,0,NA,75
Prefer not to answer,0,1,NA,0
Other (specify),1,1,NA,0
My tribe is here   ,21,22,NA,21
More opportunity for better education services,2,5,NA,1
Better opportunity to move to another place within Libya ,1,2,NA,0
Friends or family living here              ,36,47,NA,30
More economic opportunities here                ,6,15,NA,2
"1. House, property or land occupied by other persons",,,,
No,94.75,NA,NA,94.75
Yes,4.11,NA,NA,4.11
Don't know,0.93,NA,NA,0.93
Prefer not to answer,0.2,NA,NA,0.2
2. Inability to prove legal ownership of the house/property ,,,,
No,94.1,NA,NA,94.1
Yes,4.71,NA,NA,4.71
Don't know,0.89,NA,NA,0.89
Prefer not to answer,0.3,NA,NA,0.3
3. Hostility from the local community,,,,
No,91.76,NA,NA,91.76
Yes,5.38,NA,NA,5.38
Don't know,2.41,NA,NA,2.41
Prefer not to answer,0.45,NA,NA,0.45
4. Lack of security in area,,,,
No,75.08,NA,NA,75.08
Yes,22.68,NA,NA,22.68
Prefer not to answer,1.62,NA,NA,1.62
Don't know,0.62,NA,NA,0.62
5. Parts of house or property destroyed,,,,
No,54.04,NA,NA,54.04
Yes,44.66,NA,NA,44.66
Don't know,0.72,NA,NA,0.72
Prefer not to answer,0.58,NA,NA,0.58
6. Valuables in house or property missing,,,,
Yes,57.38,NA,NA,57.38
No,41.5,NA,NA,41.5
Prefer not to answer,0.82,NA,NA,0.82
Don't know,0.31,NA,NA,0.31
7. Inability to move freely in the area,,,,
No,80.85,NA,NA,80.85
Yes,17.65,NA,NA,17.65
Don't know,1.11,NA,NA,1.11
Prefer not to answer,0.39,NA,NA,0.39
"8. Basic services at the HH level (e.g., electricity, water) which worked before displacement no longer working",,,,
No,59.41,NA,NA,59.41
Yes,39.64,NA,NA,39.64
Don't know,0.58,NA,NA,0.58
Prefer not to answer,0.37,NA,NA,0.37
"9. Basic services at the community level (e.g., hospitals, health facilities, education) which worked before displacement no longer working",,,,
No,60.41,NA,NA,60.41
Yes,38.98,NA,NA,38.98
Prefer not to answer,0.3,NA,NA,0.3
Don't know,0.3,NA,NA,0.3
10. Mobile phone network coverage which had worked before displacement no longer working,,,,
No,61.5,NA,NA,61.5
Yes,37.07,NA,NA,37.07
Don't know,1.13,NA,NA,1.13
Prefer not to answer,0.3,NA,NA,0.3
11. Other (specify),,,,
No,79.88,NA,NA,79.88
Don't know,10.93,NA,NA,10.93
Yes,8.76,NA,NA,8.76
Prefer not to answer,0.42,NA,NA,0.42
"What are your household's intentions, if any, to move to a new place of residence in the next 6 months? ",,,,
Stay in the current baladiya of residence,52.35,24.87,NA,65.21
Return to the baladiya of origin,40.29,68.87,NA,26.93
Settle elsewhere within Libya,4.54,4.49,NA,4.57
Move to a country outside of Libya,2.81,1.77,NA,3.3
Where does your household plan to move to?,,,,
EU,79.21,42.37,NA,95.69
North Africa,17.22,50.74,NA,2.23
Other (specify),3.57,6.89,NA,2.08
Why does your household plan to move to a country outside of Libya?,,,,
No opportunity for work in Libya,19,19,NA,19
Don't know,0,0,NA,0
No security or too much conflict in Libya,23,31,NA,19
Prefer not to answer,6,20,NA,0
Presence of explosive hazards in Libya,0,0,NA,0
Friends or family live abroad,12,6,NA,15
"Problems accessing principal services in Libya (e.g., health, education)",26,43,NA,19
To study abroad,52,40,NA,58
Other (specify),3,1,NA,3
What are your household's top 3 priority needs?,,,,
Access to means of communication (mobile phone network coverage or mobile phone credit),2,2,2,4
Employment (livelihood opportunities),9,12,10,7
"Legal assistance (e.g., civil documentation, house/land/property, family law)",0,1,0,0
Don't know,0,0,0,1
"Explosive hazard clearance, risk education, or services for survivors",1,0,0,1
Education for children,6,6,6,7
Gender-based violence support,0,0,0,0
Medical care,52,50,53,45
Shelter support,8,26,6,10
"Psychosocial support (e.g., counseling)",1,1,1,1
Child-friendly spaces or activities,5,2,6,2
Sanitation services,6,3,6,8
Other (specify),2,4,2,2
Electricity or fuel,31,25,33,20
Access to cash,73,83,71,78
Water,16,13,17,10
Household or hygiene items,1,0,1,0
Prefer not to answer,1,0,1,1
Food,48,50,48,51
Vocational training,1,1,2,0
Did your household receive humanitarian assistance during the previous 6 months?,,,,
No,90.47,69.26,91.8,88.94
Yes,8.23,29.51,6.83,10.35
Don't know,0.85,1.1,0.87,0.6
Prefer not to answer,0.45,0.12,0.5,0.11
What was the modality of the assistance received?,,,,
"Services (e.g., health care, education)",9,3,9,13
cash,29,26,30,14
Don't know,1,0,1,0
Prefer not to answer,0,0,0,3
vouchers,0,3,0,0
Mixed (in-kind and cash/voucher),21,25,22,14
Other (specify),0,1,0,0
in kind,43,48,39,71
Is your household satisfied with the aid you received?,,,,
Yes,77.87,74.36,79.89,62.2
No,18.89,19.93,18.26,23.87
Don't know,2.62,3.33,1.82,9.11
Prefer not to answer,0.61,2.39,0.03,4.81
Why was your household not satisfied with the aid received?,,,,
Quantity not enough,73.01,52.63,82.05,19.94
Quality not good enough,26.03,32.05,17.95,80.06
Other (specify),0.71,11.35,0,0
Prefer not to answer,0.16,2.47,0,0
Don't know,0.09,1.5,0,0
"In the last year, did your household face any barriers to receiving humanitarian assistance?",,,,
Not aware of any assistance,39,38,39,36
Don't know,2,4,2,1
No barriers faced in receiving humanitarian assistance / did not want to receive assistance,58,56,57,62
Prefer not to answer,1,1,1,1
Presence of explosive hazards,0,0,0,0
Other (specify),0,0,0,0
Checkpoints or roadblocks ,0,0,0,0
Lack of consent from actor controlling territory ,0,0,0,0
Damage to roads leading to area of assistance,0,0,0,0
Insecurity travelling to area of assistance,0,1,1,0
"If your household were to receive assistance in the future, what kind of assistance would you prefer to receive?",,,,
Cash in hand,39.9,49.79,38.09,50.89
Do not want to receive assistance,28.61,12.48,31.45,11.71
"In-kind (house repairs, construction materials, NFIs, etc.)",12.64,16.14,11.97,16.79
Mixed (cash and in-kind),10.74,17.01,10,14.18
Don't know,3.09,1.81,3.35,1.46
Cash via bank transfer,1.71,1.13,1.66,2.47
Prefer not to answer,1.5,0.22,1.68,0.55
Services,1.12,0.93,1.23,0.25
Other (specify),0.42,0.31,0.43,0.38
Voucher ,0.14,0.12,0.13,0.25
Cash via e-transfer ,0.14,0.07,0.03,1.08
What is your household's primary source of information on humanitarian assistance in your current baladiya of residence?,,,,
TV,21.24,20.81,20.05,31.68
Social media,18.53,14.47,18.77,18.4
Community leaders,18.27,22.76,19.03,9.64
Do not receive information on humanitarian assistance,16.02,7.49,17.46,7.61
Charity organization,7.35,7.86,6.38,15.52
Family members and friends,6.14,11.68,5.97,5.04
Don't know,3.34,3.17,3.38,3.05
Humanitarian organization,3.25,4.81,2.84,6.06
Radio,3.06,4.17,3.23,1.07
Government,2.34,2.37,2.53,0.63
Prefer not to answer,0.45,0.4,0.36,1.3
What type of information would your household like to receive from aid providers? ,,,,
How to find work,12,14,12,9
How to get healthcare/medical attention,34,37,33,36
Don't know,3,2,3,3
How to get more money/financial support,21,31,20,23
"How to replace personal documentation (e.g., birth certificate, ID)",1,1,1,3
Prefer not to answer,1,1,1,1
Do not want to receive information from aid providers,22,12,24,12
Information about possible return to place of origin/relocation,1,15,0,1
Other (specify),1,0,0,1
How to complain about the aid we are receiving,0,0,0,1
How to register for aid,20,26,19,24
Finding missing people,1,1,1,2
How to get access to education,8,7,8,5
Food prices,12,12,11,20
The security situation here,27,23,27,32
What is your household's preferred means of receiving the information?,,,,
WhatsApp (or other mobile phone based platform),2,2,2,1
Twitter,2,2,2,2
Facebook,40,36,41,36
In person / face-to-face (please specify from whom),8,11,9,3
Prefer not to answer,1,1,1,1
Loudspeakers,0,0,0,0
Billboards,2,1,2,2
Newspapers,1,1,1,1
Other (specify),0,0,0,0
Posters,2,2,2,1
Other internet platforms,6,6,7,2
SMS,16,17,15,22
Television,41,40,42,34
Phone call,40,45,40,33
Leaflets,2,3,2,2
Don't know,1,2,1,0
In the last 6 months have you or anyone else in your household been asked about what aid you would like to receive?,,,,
No,89.29,78.95,89.71,90.54
Yes,5.87,17.38,5.36,4.92
Don't know,4.32,3.33,4.44,3.79
Prefer not to answer,0.52,0.35,0.5,0.75
"How would your household prefer to provide feedback to aid providers about the quality, quantity and appropriateness of the aid you will receive?  ",,,,
Letter,2,3,2,1
Complaints/suggestions box,3,4,3,3
Social media (specify site),8,7,8,5
E-mail,2,1,2,1
Prefer not to answer,4,0,4,2
Phone call,28,34,28,25
Face to face with member of the community ,53,63,52,56
SMS,10,8,10,12
Do not want to provide feedback,12,6,12,8
Other (specify),0,0,1,0
Don't know,3,2,3,2
1. Property documents,,,,
Everyone who needs this document has it,89.95,87.23,91.68,76.34
Not everyone who needs this document has it,10.05,12.77,8.32,23.66
2. Family book,,,,
Everyone who needs this document has it,90.51,88.71,91.04,86.77
Not everyone who needs this document has it,9.49,11.29,8.96,13.23
3. Certificate of nationality,,,,
Everyone who needs this document has it,95.38,92.89,95.37,96.62
Not everyone who needs this document has it,4.62,7.11,4.63,3.38
4. Passport,,,,
Everyone who needs this document has it,76.39,72.91,77.77,66.13
Not everyone who needs this document has it,23.61,27.09,22.23,33.87
5. National identifier ,,,,
Everyone who needs this document has it,98.67,94.94,98.86,98.86
Not everyone who needs this document has it,1.33,5.06,1.14,1.14
6. National ID card,,,,
Everyone who needs this document has it,95.19,91.71,95.67,92.67
Not everyone who needs this document has it,4.81,8.29,4.33,7.33
7. Residence Certificate,,,,
Everyone who needs this document has it,97.6,93.58,97.75,98.14
Not everyone who needs this document has it,2.4,6.42,2.25,1.86
8. Birth certificate,,,,
Everyone who needs this document has it,98.75,93.57,98.97,99.31
Not everyone who needs this document has it,1.25,6.43,1.03,0.69
9. Other (please specify),,,,
Everyone who needs this document has it,92.95,93.89,93.8,85.17
Not everyone who needs this document has it,7.05,6.11,6.2,14.83
Property documents,,,,
This mahalla is currently unable to issue such documents.,32.29,21.83,34.21,21.23
"We are in the process of obtaining or renewing it, so we will have it later.",24.53,30.62,21.61,45.98
We are unable to obtain it in this mahalla or anywhere else.,16.56,8.76,15.84,26.16
Prefer not to answer,13.13,0.25,15.03,3.36
Don't know,9.96,0.99,11.53,1.05
We lost it in the conflict.,3.53,37.55,1.77,2.22
2. Family book,,,,
This mahalla is currently unable to issue such documents.,47.81,30.64,52.2,20.31
We are unable to obtain it in this mahalla or anywhere else.,22.55,26.64,21.83,26.64
"We are in the process of obtaining or renewing it, so we will have it later.",21.4,19.1,20.97,25.59
We lost it in the conflict.,7.14,22.38,3.78,27.41
Don't know,1.07,0.62,1.23,0
Prefer not to answer,0.03,0.62,0,0.05
Certificate of nationality,,,,
This mahalla is currently unable to issue such documents.,38.89,38.45,41.72,21.92
"We are in the process of obtaining or renewing it, so we will have it later.",24.15,20.88,19.08,55.97
Don't know,13.31,0.26,16.28,0
We lost it in the conflict.,11.47,5.19,13.02,4.31
We are unable to obtain it in this mahalla or anywhere else.,8.4,29.65,5.6,17.79
Prefer not to answer,3.78,5.57,4.3,0
Passport,,,,
"We are in the process of obtaining or renewing it, so we will have it later.",53.4,33.76,56.81,33.23
This mahalla is currently unable to issue such documents.,31.86,37.49,30.35,42.19
We are unable to obtain it in this mahalla or anywhere else.,12.02,17.74,10.68,20.97
We lost it in the conflict.,1.98,9.72,1.52,2.35
Don't know,0.59,0.79,0.65,0
Prefer not to answer,0.15,0.5,0,1.26
5. National identifier,,,,
"We are in the process of obtaining or renewing it, so we will have it later.",65.59,31.87,65.28,87.51
Prefer not to answer,10.73,4.24,12.46,0.17
This mahalla is currently unable to issue such documents.,9.15,28.08,8.66,2.31
We are unable to obtain it in this mahalla or anywhere else.,8.44,32.18,6.6,10.02
We lost it in the conflict.,6.09,3.64,7,0
6. National ID card,,,,
"We are in the process of obtaining or renewing it, so we will have it later.",63.59,30.63,67.65,44.1
This mahalla is currently unable to issue such documents.,14.65,42.6,10.83,34.73
Don't know,13.83,1.61,16.02,0.16
We lost it in the conflict.,5.65,16.56,4.96,5.83
We are unable to obtain it in this mahalla or anywhere else.,2.26,8.24,0.54,15.18
Prefer not to answer,0.02,0.35,0,0
Residence Certificate,,,,
"We are in the process of obtaining or renewing it, so we will have it later.",44.98,44.18,48.6,8.04
This mahalla is currently unable to issue such documents.,23.59,40.93,24.11,6.98
Don't know,11.51,0,9.63,38.47
Prefer not to answer,11.24,2.87,12.85,0
We lost it in the conflict.,6.01,4.58,2.41,44.23
We are unable to obtain it in this mahalla or anywhere else.,2.67,7.44,2.41,2.28
Birth certificate,,,,
"We are in the process of obtaining or renewing it, so we will have it later.",47.63,39.1,48.27,39.91
This mahalla is currently unable to issue such documents.,28.83,48.02,28.05,16.27
Prefer not to answer,11.93,0,12.85,0
We lost it in the conflict.,10.84,5.02,10.83,26.11
We are unable to obtain it in this mahalla or anywhere else.,0.71,6.67,0,17.71
Don't know,0.06,1.19,0,0
9. Other,,,,
Don't know,33.8,16.64,36.91,20.13
This mahalla is currently unable to issue such documents.,21.4,29.79,20.31,25.06
"We are in the process of obtaining or renewing it, so we will have it later.",19.2,36.98,14.48,43.76
Prefer not to answer,14.79,6.44,17.47,0
We are unable to obtain it in this mahalla or anywhere else.,5.85,4.31,5.59,8.31
We lost it in the conflict.,4.96,5.83,5.23,2.74
Has the loss of your household's documentation affected its access to any of the following?,,,,
Access to household's land or house,0,3,0,0
"Access to household's property (e.g., household items, personal items)",1,3,0,2
Movement or travel,26,49,30,5
Loss of document did not affect our access to any services,24,32,6,74
Health,24,6,34,2
Education,32,6,47,1
Assistance from humanitarian organisation,5,5,6,1
Other (specify),0,1,0,0
Prefer not to answer,3,0,0,14
Assistance from government,16,11,21,3
Food subsidies/assistance,0,2,0,1
Access to salary,11,7,14,3
Ability to get SIM card,11,0,16,1
Don't know,9,4,12,3
Has your household applied to get new documentation?,,,,
No,51.72,37.58,55.42,46.96
Yes,45.44,62.39,44.58,40.44
Don't know,2.83,0.03,0,12.6
